Date,Username,Display Name,Text,Retweets,Likes,Replies,Quotes,Views,Tweet ID,Tweet URL,Export Path
2025-07-24 23:15:43,irys_xyz,Irys (✧ᴗ✧),"At Irys, we LOVE Korea  So much so, that next week we'll be hosting the most exciting in-person event we've hosted this year right in Seoul.  Date: Friday August 1 (7:00 PM - 9:00 PM KST) Location: Dreamplus, Gangnam, Seoul  Connect with @josh_benaron and other leading AI &amp; https://t.co/Nw76wCIE8x",156,992,376,261,149004,1948522513417261230,https://twitter.com/irys_xyz/status/1948522513417261230,C:\Projects\DATA_SCIENCE\Tweet_Scraper_app\data\exports\irys_xyz_20260103_001217.csv
2025-07-24 01:08:00,irys_xyz,Irys (✧ᴗ✧),"The White House just called data a 'national strategic asset'.  Is it obvious how valuable data is yet? If it isn't, it will be soon.",129,897,424,88,66753,1948188382087016957,https://twitter.com/irys_xyz/status/1948188382087016957,C:\Projects\DATA_SCIENCE\Tweet_Scraper_app\data\exports\irys_xyz_20260103_001217.csv
2025-07-23 14:45:33,irys_xyz,Irys (✧ᴗ✧),https://t.co/GMC42PJm2H,158,933,322,200,151821,1948031738472542281,https://twitter.com/irys_xyz/status/1948031738472542281,C:\Projects\DATA_SCIENCE\Tweet_Scraper_app\data\exports\irys_xyz_20260103_001217.csv
