Date,Username,Display Name,Text,Retweets,Likes,Replies,Quotes,Views,Tweet ID,Tweet URL,Export Path
2026-01-04 16:42:05,Jamez_Chi,O.J,What was i even doing,0,0,0,0,54,2007855063319118177,https://twitter.com/Jamez_Chi/status/2007855063319118177,C:\Projects\DATA_SCIENCE\Tweet_Scraper_app\data\exports\jamez_chi_20260121_191143.csv
2026-01-01 20:30:31,Jamez_Chi,O.J,Taking my first L of the year like a champ... 😂😂,0,0,0,0,48,2006825385930142151,https://twitter.com/Jamez_Chi/status/2006825385930142151,C:\Projects\DATA_SCIENCE\Tweet_Scraper_app\data\exports\jamez_chi_20260121_191143.csv
2025-12-24 21:27:25,Jamez_Chi,O.J,Silksong.,0,0,0,0,90,2003940601893736889,https://twitter.com/Jamez_Chi/status/2003940601893736889,C:\Projects\DATA_SCIENCE\Tweet_Scraper_app\data\exports\jamez_chi_20260121_191143.csv
